gender,region,education,age,responses_t1_1,responses_t1_2,responses_t2_1,responses_t2_2,responses_t3_1,responses_t3_2,responses_t4_1,responses_t4_2,responses_t5_1,responses_t5_2,responses_t6_1,responses_t6_2,responses_t7_1,responses_t7_2,responses_t8_1,responses_t8_2,responses_t9_1,responses_t9_2,responses_t10_1,responses_t10_2,responses_t11_1,responses_t11_2,responses_t12_1,responses_t12_2,responses_t13_1,responses_t13_2,responses_t14_1,responses_t14_2,responses_t15_1,responses_t15_2,responses_t16_1,responses_t16_2,responses_t17_1,responses_t17_2,responses_t18_1,responses_t18_2,responses_t19_1,responses_t19_2,responses_t20_1,responses_t20_2,prediction_age,age_imputed,prediction_education,education_imputed,prediction_gender,gender_imputed
female,Arequipa,undergraduate,NA,1,2,0,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,1,2,1,1,0.5,1,1,1,1.5,1,0.5,1,0,2,1,1,0,2,1,1,0.5,1,35.888306,35.888306,NA,undergraduate,NA,female
female,Lima,NA,19,1,2,1,2,1,2,0.5,1,1,2,0.5,1,0.5,1,1,2,0,2,0.5,1,1,2,0.5,1,1,1,1.5,1,0.5,1,1.5,1,0.5,1,0.5,1,0,1,0.5,1,NA,19,undergraduate,undergraduate,NA,female
male,Extranjero,undergraduate,22,1,1,1,1,1,1,1,2,1,2,1,2,0,1,0,1,0,1,0,2,0.5,1,1,2,1,1,0,1,1,1,0,1,1,2,0,1,1,1,0,1,NA,22,NA,undergraduate,NA,male
male,Lima Metropolitana,undergraduate,26,0.5,2,1,2,1,2,0,1,1,2,1,2,0.5,1,0.5,1,0,1,1,1,1,1,0.5,1,0.5,1,1.5,1,1,2,0,2,1,2,0,2,1,2,1,1,NA,26,NA,undergraduate,NA,male
male,Lima,graduate,45,1,2,0,2,1,2,0,2,0,2,0,1,0.5,1,0,1,0,2,1,1,0,1,0,1,1,2,1,2,0,1,1,1,0,1,0.5,2,0,1,0.5,1,NA,45,NA,graduate,NA,male
male,Extranjero,undergraduate,22,0,1,1,1,1,1,1,2,1,2,1,2,0,1,0,1,0,1,0,2,0.5,1,1,2,1,1,0,1,1,1,0,1,1,2,0,1,1,1,0,1,NA,22,NA,undergraduate,NA,male
male,Lima,graduate,24,1,2,1,1,1,2,1,1,1,2,0,1,1,2,1,2,0,1,1,1,1,1,1,1,0,1,0,2,1,2,0,1,1,2,1,1,0,1,1,1,NA,24,NA,graduate,NA,male
NA,Lima Metropolitana,graduate,20,0.5,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,1,1,0,1,0.5,1,0,1,NA,20,NA,graduate,male,male
female,Lima,secondary,25,1,2,1,2,1,2,1,2,1,2,1,1,0,1,0,1,0,2,0,1,1,2,1,2,0.5,1,1.5,1,1,2,1.5,1,1,2,0.5,1,0,1,0.5,1,NA,25,NA,secondary,NA,female
female,Lima,secondary,25,0,2,1,2,1,2,0.5,2,1,2,1,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,0,2,1,2,1.5,2,1,2,1,2,0,2,0.5,2,NA,25,NA,secondary,NA,female
female,Callao,graduate,63,1,2,1,1,1,2,0.5,2,1,1,0.5,1,0,1,0,2,0,2,1,1,1,1,1,1,1,2,0,1,1,1,0,1,1,2,0,1,0.5,1,1,1,NA,63,NA,graduate,NA,female
male,Lima,undergraduate,23,1,2,1.5,1,1,2,0.5,1,1,2,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,2,1,2,1,1,1,1,1,1,0.5,1,0,1,0.5,1,NA,23,NA,undergraduate,NA,male
male,Lima,undergraduate,21,0,2,1,2,1,2,1,2,1,1,0.5,1,0,1,0.5,1,0,2,0.5,1,1,1,1,2,1,1,1.5,1,1,1,1.5,1,0.5,2,0,2,0.5,1,1,1,NA,21,NA,undergraduate,NA,male
NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.5,1,0,1,0,1,NA,NA,NA,NA,NA,NA
male,Lima,graduate,40,1,2,1,2,1,2,0.5,1,1,1,1,1,0,1,0,1,0,2,0.5,1,1,1,1,2,0.5,1,0,1,1,1,0,1,1,2,1,2,0.5,1,1,1,NA,40,NA,graduate,NA,male
NA,NA,NA,NA,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
female,Arequipa,undergraduate,67,0.5,2,1,1,1,2,NA,NA,1,1,1,1,NA,NA,0.5,1,NA,NA,0.5,1,0,1,1,2,1,2,1.5,2,1,1,1.5,2,0.5,1,0.5,2,0.5,1,1,2,NA,67,NA,undergraduate,NA,female
female,Lima,undergraduate,43,1,2,1,1,1,2,0.5,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,1,2,1,2,0,2,1,1,1.5,2,0.5,1,0,1,0.5,1,0,1,NA,43,NA,undergraduate,NA,female
male,Lima Provincias,undergraduate,23,0.5,2,1,2,1,2,1,1,0,2,1,1,0,1,0.5,1,0,2,0.5,1,1,2,1,2,1,1,0,1,1,2,1.5,1,1,2,0.5,2,0.5,1,1,1,NA,23,NA,undergraduate,NA,male
NA,NA,NA,NA,0,2,1,2,1,2,0,2,1,1,1,1,0,1,0.5,1,0,2,0,1,0,2,1,2,1,2,1,2,1,1,1.5,1,1,2,0.5,2,0,1,0.5,1,NA,NA,NA,NA,NA,NA
